央视高清,#genre#
CCTV-4K超高清[1920],http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-4K超高清[1920],http://117.148.179.157/PLTV/88888888/224/3221233400/index.m3u8
CCTV1[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV2[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCTV3[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225677/index.m3u8?
CCTV4[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225753/index.m3u8?
CCTV5[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV5+[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225621/index.m3u8?
CCTV6[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225683/index.m3u8?
CCTV7[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV8[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225630/index.m3u8?
CCTV9[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225633/index.m3u8?
CCTV9[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225939/index.m3u8?
CCTV10[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225624/index.m3u8?
CCTV11[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV12[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225645/index.m3u8?
CCTV13[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225742/index.m3u8?
CCTV14[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225648/index.m3u8?
CCTV15[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225693/index.m3u8?
CCTV16[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225845/index.m3u8?
CCTV16[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225956/index.m3u8?
CCTV17[1920],http://39.135.32.236:6610/PLTV/77777777/224/3221225513/index.m3u8?
CCTV1[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1[1920],http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV2[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2[1920],http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV3[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV4[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5[1920],http://39.135.138.59:18890/PLTV/88888910/224/3221225648/index.m3u8
CCTV5[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225648/index.m3u8
CCTV5[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV6[1920],http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV6[1920],http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV6[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV6[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV7[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV7[1920],http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV8[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV8[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV8[1920],http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV9[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV9[1920],http://39.135.138.60:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV10[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV11[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV11[1920],http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV12[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV13[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV13[1920],http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV14[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV14[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV14[1920],http://39.135.138.59:18890/PLTV/88888910/224/3221225640/index.m3u8
CCTV15[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV17[1920],http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV17[1920],http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8
CNC中文[1280],http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8
CNC英文[1280],http://39.135.138.59:18890/PLTV/88888910/224/3221225693/index.m3u8
央视军事[1280],http://117.148.179.134/PLTV/88888888/224/3221231504/index.m3u8
央视新闻[1920],http://livecdn.dmqhyadmin.com/hls/xjminhe.m3u8

卫视高清,#genre#
